Application Number,Application Date,Type of Request,Description of Request,Status of Request,Location,Reason for Petition,Reason for Petition (Other),Zoning Use Classification,Variance Board of Appeals,Board of Appeals Special Permit,Current Use,Proposed Use,Zoning District,Special Permit Hearing Deadline,Special Permit Decision Deadline,Variance Hearing Deadline,Variance Decision Deadline,Applied Online,Zoning Ordinance Cited Article (field1),Zoning Ordinance Cited Section (field1),Zoning Ordinance Cited Article (field2),Zoning Ordinance Cited Section (field2),Zoning Ordinance Cited Article (field3),Zoning Ordinance Cited Section (field3),Zoning Ordinance Cited Article (field4),Zoning Ordinance Cited Section (field4),Zoning Ordinance Cited Article (field5),Zoning Ordinance Cited Section (field5),Zoning Ordinance Cited Article (field6),Zoning Ordinance Cited Section (field6),Zoning Ordinance Cited Article (field7),Zoning Ordinance Cited Section (field7),Desc Of Relief Req,Summary For Publication,Total Gross Floor Area,Requested Total Gross Flr Area,Ordinance Total Gross Flr Area,Exisiting Lot Area,Requested Lot Area,Ordinance Lot Area,Existing Gross Floor Area Ratio,Requested Gross Floor Area Ratio,Ordinance Gross Floor Area Ratio,Existing Lot Area Dwelling Unit,Requested Lot Area Dwelling Unit,Ordinance Lot Area Dwelling Unit,Requested Size of Lot Width,Existing Size of Lot Width,Ordinance Size of Lot Width,Requested Size of Lot Depth,Existing Size of Lot Depth,Ordinance Size of Lot Depth,Existing Setbacks Front,Requested Setbacks Front,Ordinance Setbacks Front,Existing Setbacks Back,Requested Setbacks Back,Ordinance Setbacks Rear,Existing Setbacks Left Side,Requested Setbacks Left Side,Ordinance Setbacks Left Side,Existing Setbacks Right Side,Requested Setbacks Right Side,Ordinance Setbacks Right Side,Existing Size of Building Height,Requested Size of Building Height,Ordinance Size of Building Height,Existing Size Of Building Length,Requested Size of Building Length,Ordinance Size of Building Length,Existing Size of Building Width,Requested Size of Building Width,Ordinance Size of Building Width,Existing Usable Open Space Ratio,Requested Usable Open Space Ratio,Ordinance Useable Open Space Ratio,Existing No of Dwelling Units,Requested No of Dwelling Units,Ordinance No of Dwelling Units,Existing No of Parking Spaces,Requested No of Parking Spaces,Ordinance No of Parking Spaces,Existing No of Loading Areas,Requested No of Loading Areas,Ordinance No Of Loading Areas,Existing Distance to Nearest Bldg,Requested Distance to Nearest Bldg,Ordinance Distance to Nearest Building,Description of Other Occupancies,Literal Enforcement,Desirable Relief Public Good,Desirable Relief Nullifying,Land Topography Hardship,Requirements Of Ordinance,TrafficPatterns,Continued Operation,Nuisance Or Hazard,Other Reasons,Petitioner City,Petitioner State,Decision Date
BZA-017301-2020,06/23/2020,Special Permit,Special Permit:  To renovate and finish a portion of the basement and exempt it from GFA.  The renovation includes a new interior stair for direct and safe access from the first floor unit to newly finished basement spaces and two (2) existing windowsills will be modified to provide access to new single window well for emergency egress.,Withdrawn,"25 STANDISH ST
Cambridge, MA
(42.381984, -71.139058)",,Modify windows + new egress window well,Multifamly Dwelling,No,Yes,Residence,Residence,Residence B Zone,10/10/2020,12/23/2020,,,Yes,8.000,8.22.2.C (Alteration to Non-Conforming Structure).,5.000,5.31 (Table of Dimensional Requirements).,10.000,10.40 (Special Permit).,,,,,,,,,"The Owners/Occupants wish to finish and renovate a portion of the basement to include a mud room, family room and laundry room.  This renovation includes a new interior stair for direct and safe access from the owners'/occupants' first floor unit to the newly finished basement spaces.  Two existing basement window sills will be modified to provide access to a new single window well for emergency egress.",Special Permit:  To renovate and finish a portion of the basement and exempt it from GFA.  The renovation includes a new interior stair for direct and safe access from the first floor unit to newly finished basement spaces and two (2) existing windowsills will be modified to provide access to new single window well for emergency egress.,5853,no change,3238,6475,no change,7500,.9,no change,.5,2158,no change,2500,-,46',50',-,144.56,-,12.1',no change,15',72.8',no change,25',6.1',no change,.5',5.8',no change,7.5',34',34.16',35',-,no change,-,34.1,no change,-,0.4,no change,40%,3,no change,2,3,no change,3,na,na,na,na,no change,10,There are no other occupancies on the same lot. There is an 8' x 10' wood shed for bicycles that will remain.  The new window well is to be built of concrete and the existing dwelling is a wood frame triple decker.,,,,,The proposed new windows are modified with lowered sills in existing openings to access a new window well for basement egress.  They are presently located within a non-conforming set back.  The proposed modification does not change the present status.  The new window well modified the total building height from 34' to 34.16' and thus remains within the 35' limit.,"There will be no change to traffic generated or patterns of access or egress that would cause any congestion hazard, or substantial change in established neighborhood character.  The new window well will not be in the path of, used, or seen from the established neighborhood.","The new window well is in the most minimally used location on the property.  Once the window well is installed, a path to access utilities, maintain upkeep, and allow for egress from the back of the property along the fence to the front garden and street will be maintained.  The proposed modification will have little impact on abutters.",The window well will provide a safe and direct egress in the event of an emergency leading one from the basement  to the side yard and then on out to the street.,The construction of this window well egress will have virtually no impact on the integrity of the district or adjoining districts.  The change in appearance to the multifamily dwelling will be almost unnoticeable but it will allow a Cambridge family to remain in their home and the neighborhood they are committed to by adding additional basement living space.,Cambridge,Ma,09/25/2020
BZA-017303-2020,06/29/2020,Variance/Special Permit,Variance:  Create new 15' dormer.Special Permit:  New & Relocated fenestration on non-conforming elevations including window wells.,Approved,"6 Goodman Rd
Cambridge, MA
(42.371601, -71.108254)",,Windows & Door in existing nonconforming setback,Residential,Yes,Yes,2 Family,unchanged,Residence C-1 Zone,09/19/2020,11/11/2020,09/19/2020,10/24/2020,Yes,5.000,5.31 (Table of Dimensional Requirements).,8.000,8.22.3 (Non-Conforming Structures).,8.000,8.22.2.C (Non-Conforming Structure).,10.000,10.30 (Variance).,10.000,10.40 (Special Permit).,,,,,Special Permit:  New & Relocated fenestration on non-conforming elevations including window wellsVariance:  Create new 15' dormer (+106 sf added),Variance:  Create new 15' dormer.Special Permit:  New & Relocated fenestration on non-conforming elevations including window wells.,2725,3077,2438,3250,unchanged,5000,.84,.94,.75,1625,unchanged,1500,unchanged,50',50',unchanged,65',n/a,0.6',unchanged,10',7.8',unchanged,20',5.6',unchanged,12.2',19.9',unchanged,12.2',29',unchanged,35',56.6',unchanged,n/a,24.7',unchanged,n/a,0% / 16%,unchanged,15% / 30%,2,unchanged,2,2,unchanged,2,n/a,n/a,n/a,0.5',unchanged,10',Existing Residential 2 Family woodframe structure with detatched concrete block 2 car garage,"The relief requested is minor in nature (106 sf).  A literal enforcement of the ordinance would prevent the owner from bringing this house, which predates the ordinance, up to 21st century standards of living.","The relief is minor, located near the rear of the property and compliant for setbacks.  The proposed project is appropriately scaled for the historic street.",The relief requested is minor in nature and specific to this structure and will result in a condition that is congruous with its surrounding structures.,The existing non-conforming house sits in disrepair and is located within the Mid-Cambridge Neighborhood Conservation District.  The shape of the lot and the nature of the existing structure that needs to be preserved combine to create a hardship for which relief is requested to build in the rear of the property.,The special permit relief for new / relocated windows in a wall nonconforming for setback does not create any further violation of the dimensional requirements of Article 5.,The special permit request is for fenestration changes only.  The granting of the special permit will not cause a change to traffic or existing traffic patterns.,The proposed project will have no adverse impact on adjacent uses.  The use of the property as two family is consistent with surrounding structures and the zoning district.,The proposed changes are minimal in scope and will not create a nuisance or hazard to occupants or citizens of the City.,The proposed use is unchanged and consistent with the integrity of this district.,Cambridge,MA,09/24/2020
BZA-017156-2019,07/29/2019,Variance,Variance:  To construct two 15' shed dormers.,Approved,"24 CUSHING ST
Cambridge, MA
(42.375501, -71.151463)",,,Residential,Yes,No,105,105,Residence B Zone,,,10/02/2019,11/06/2019,Yes,5.000,5.31 (Table of Dimensional Requirements).,,,,,,,,,,,,,Zoning relief requested to construct two 15 foot shed dormers.,Variance:  To construct two 15' shed dormers.,"3,254","3,579","3,647","8,279",no change,"5,000",.50 / .25,.50 / .33,.50 / .35,"2,760",no change,"2,500",no change,74.87',50',no change,178.20',NA,26.1',no change,15',82.6',no change,25',16.9',no change,12.5',7.1',no change,7.5',29.9',no change,35',60',no change,NA,26.3',no change,NA,73.1,no change,.40,3,3,3,3,3,3,0,0,0,NA,NA,NA,Existing house is wood frame.Proposed dormers are wood frame.,"A literal enforcement of the provisions would require the home owner to lift up and move his entire existing 3 story structure 4.8"" to the left out of the right side set back.  In all other respects the existing structure is  conforming and the proposed dormers would be as-by-right if not for the 4.8"" encroachment of the existing house into the right side setback.","The proposed 15'-0"" dormers would not create any new noise or light pollution, they would not create a lack of privacy or cast shadows for the adjacent properties, and they would not result in the loss of any on street parking or private open space.  The only existing non-conforming condition will remain as is and it will not be increased.","The proposed dormers would meet all the preferred dormer guidelines except the step down from the existing roof ridge in order that we maintin the existing 3rd floor ceiling height and accomodate a more attractive dormer roof slope rather than a flat dormer roof.  The proposed dormers are modest in scale, they maintain the character and scale of the existing house and the neighborhood, and as part of the work an existing unsightly left side dormer will be removed.","The homeowner has owned and occupied this property since 1984.  The 3rd floor unit is very narrow with and with very low ceilings, the existing kitchen and bathroom are terribly cramped.  The proposed dormer additions would greatly improve the functionality and comfort of the unit and make it able to accomodate a more functional kitcen and bathroom, making the unit more suitable and more comfortable for a family both in its current use as a rental, and also as a place for future long term stays by his grown children and young grandchildren.",,,,,,Cambridge,MA,10/23/2019
BZA-017237-2019,12/18/2019,Variance/Special Permit,Variance:   To add an entry canopy over the proposed relocated rear entry door. Special Permit:  To install windows and doors in the setback and to build dormers in excess of a 10% increase in volume.,Approved,"70 PARK AVE
Cambridge, MA
(42.377124, -71.149355)",,"Window & Door changes, Dormers, Addition",Residential,Yes,Yes,Residential,Residential,Residence B Zone,02/23/2020,05/13/2020,02/23/2020,03/29/2020,Yes,5.000,5.31 (Table of Dimensional Requirements).,8.000,8.22.3 (Non-Conforming Structure).,8.000,8.22.2.C (Non-Conforming Structure).,10.000,10.30 (Variance).,10.000,10.40 (Special Permit).,,,,,The petitioner seeks  special permits to make alterations & enlargements to a non-conforming structure. These include window & door relocations in the east end of the house occupying the rear yard and the addition of shed dormers at the third floor. The petitioner also seeks variances to add an entry canopy over the proposed relocated rear entry door. This modest addition requires relief from F.A.R. limits and from rear yard setback.,Variance:   To add an entry canopy over the proposed relocated rear entry door. Special Permit:  To install windows and doors in the setback and to build dormers in excess of a 10% increase in volume.,4099,4117,2322,4644,4644,5000,.882,.886,.50,2322,2322,2500,No change,140.4,50,No change,66.0,N/A,0.0,45.0,15.0,0.0,20.0,25.0,0.0,N/A,7.5,0.0,.30,7.5,37.2,10.5,N/A,62.0,6.0,N/A,36.0,3.0,N/A,.24,No change,.40,2,No change,2,3,No change,2,N/A,N/A,N/A,N/A,N/A,N/A,Dormers and inset balcony to be wood frame construction.* Proposed entry roof canopy to be pediment design 3 feet deep x 6 feet long with minimum offset to right side property line of .3 feet to be clad,A primary building entry/exit without a protective roof covering creates an ongoing hardship and potential safety hazard during inclement weather for all occupants and visitors but particularly for disabled family members. This rear door will be the only code-compliant common entry and exit for the building. The front door currently has an exterior canopy protecting it but inadequate landing space in front of the door at the top of the brick steps leading to it.,"The closest abutter to the proposed canopy is a public way (the new DCR bike path), not a residential neighbor. To the extent that yard setbacks are partly intended to ensure minimum fire separation distances between neighborhing buildings, the bike path lends considerable extra distance to the nearest structure to the east or south of the proposed canopy.","The modest ""floor area"" the proposed canopy requires is entirely exterior space, not enclosed habitable space. While it increases the F.A.R. by just .002 per cent, its impact on the neighborhood is negligible. Also, along with this canopy and new door location is the opportunity to remove approximately 18 square feet of brick steps currently serving the existing south side entrance. This yard area will be replaced with permeable materials.","The lot is both undersized and triangular in shape. Due to the unusual shape of the lot and the configuration of rooms within the house, the only reasonable and practicall location for a new code-compliant stair and grade level exit door is at the proposed location. Consequently, because this location falls within the non-conforming portion of the house with regard to setbacks, it is also not feasible for an exterior roof canopy to meet the full rear or side yard setback requirement.","While the proposed dormers increase headroom at the third floor, they do not increase the existing floor area ration (F.A.R.). Also, while previous additions increased the volume of the house to 21% over its original volume, the proposed dormers only bring this overage up to 22% and therfore the volume of the house will still be below the 25% maximum limit stated in Article 8.22.2 paragraph c. The dormers conform to all dimensional setback and height limtis of Article 5.0, and they have no impact on existing off-street parking. Finally, the deisgn of the dormers is in full compliance with published ZBA guidelines for dormers. The proposed changes to window and door openings within the non-conforming portion of the structure are necessary in order to accomodate a redesigned interior exit stair which will better serve both apartments and also the basement. The existing interior stair is extremely narrow and unsafe and has its narrow exit door onto the rear enclosed porch rather than directly to the exterior. Also, there is currently no code-compliant exit from the basement level which is used for residents' storage and mechanical equipment. Despite the fact that the new window and door openings are still within a non-conforming portion of the strucutre, they are nonetheless farther afield the property line than those that are being removed, and they significantly enhance life saftey via improved  building egress.","Neither the roof dormers, nor the window and door relocations pose substantial change to the neighborhood character, traffic generation. Building egress is improved for residents without negatively impacting neighborhood.","Neither the roof dormers nor the window and door relocations would affect the continued operation or  development of adjacent uses in any way, there being no change in proposed use.","Neither the roof dormers nor the window and door relocations would create a nuisance or hazard for anyone, there being no change in proposed use.",The roof dormers and the window and door relocations have been designed to integrate with other previously permitted work on the building and if approved will enhance the overall integrity of the structure.,Boston,MA,03/13/2020
BZA-017232-2019,12/17/2019,Variance/Special Permit,"Variance: Construct a new, mixed-use building, including improved ground floor commercial space of approximately 1,500 square feet and eight (8) residential units on the upper floors with nine (9) total parking spaces (of which five (5) will be compact and four (4) will be full size). Special Permit:  Reduction of required parking.",Approved,"747 CAMBRIDGE ST
Cambridge, MA
(42.372195, -71.089084)",,,Mixed,Yes,Yes,Fraternal Organization,Mixed Use(Commercial/Residential0,Business A Zone & Residence C-1 Zone,02/22/2020,04/29/2020,02/22/2020,03/28/2020,Yes,5.000,5.27.2 (Floor Area Ratio).,5.000,5.24 (Front & Side Yard Setback).,6.000,6.34 (Parking Space Size Allocation).,6.000,6.35.1 (Reduction of Required Parking).,5.000,5.31 & 5.33 (Table of Dimensional Requirements).,,,,,"Construct a new, mixed-use building, including improved ground floor commercial space of approximately 1,500 square feet and eight (8) residential units on the upper floors, along with nine (9) on-site parking spaces, in an appropriately-designed building with related improvements in site design, open space, and pedestrian access. The proposed project also includes nine (9) long term and two (2) short term bicycle parking spaces.","Variance: Construct a new, mixed-use building, including improved ground floor commercial space of approximately 1,500 square feet and eight (8) residential units on the upper floors with nine (9) total parking spaces (of which five (5) will be compact and four (4) will be full size). Special Permit:  Reduction of required parking.","4,080","10,735","8,525","6,200","6,200","5,000",0.66,1.73,1.375 (Combined),N/A,8 DU,9.1 DU,50',50',50',124',124',N/A,-1.7(Marion) / -1.3' (Cambridge),BA: 0' C1: 4.5',BA: 0' C1:10' C2B:10',N/A-Corner Lot,N/A-Corner Lot,N/A-Corner Lot,2.7',0',BA: 0' C1:10' C2B:10',39.6',15',10.7',12',35',45',85.5,109',n/a,50,45'-49.5',n/a,32%,17%,14% (combined),0,8,9.1,0,9,VARIES 1-5,0,0,0,N/A,N/A,N/A,WOOD FRAME CONSTRUCTION. THE GROUND FLOOR OF THE FRONT MASSING (ALONG CAMBRIDGE ST) WILL BE COMMERICAL USE,See Attached Exhibit.,See Attached Exhibit.,See Attached Exhibit.,See Attached Exhibit.,See Attached Exhibit.,See Attached Exhibit.,See Attached Exhibit.,See Attached Exhibit.,See Attached Exhibit.,Lynnfield,MA,08/27/2020
BZA-017309-2020,07/16/2020,Variance,"Comprehensive Permit:  Rindge Commons is the creation of 101 units of affordable housing on the site of the Rindge Tower Apartments which has 273 affordable apartments.  The project consists of 2 buildings which will be built in phases.  Phase I will include 24 units of housing and 42,500 sf of commercial space.  Phase II will include 77 units of housing. The applicant seeks relief from the following Ordinance provisions:",Approved,"402 RINDGE AVE
Cambridge, MA
(42.394016, -71.139773)",,COMPREHENSIVE PERMIT,NON-PROFIT ORGANIZATION,No,No,Multi-Family Business,Multi-Family Business,Residence C-2 Zone - Parway Overlay,,,,,No,5.000,5.31 (Table of Dimensional Requirements) & 5.22,11.000,11.203 (Inclusionary Housing Project).,20.000,20.64 (Parkway Overlay). 20.66 (Park Std/curbcut),6.000,6.36 (Parking). 6.44 (Parking Layout).,6.000,6.34 (Parking size) & 6.48 (Landscaping Pkg. lots),4.000,4.34.D(General Office Use)Sec.22.23 Green BLD/Leed,22.000,22.23 (Storm Water Retention/Phosphorus Mitigation,"Sec. 6.107 (Bicycle Parking).  & Sec. 20.67 (Mechanical Equipment). Rindge Commons is the creation of 101 units of affordable housing on the site of the Rindge Tower Apartments which has 273 affordable apartments.  The project consists of 2 buildings which will be built in phases.  Phase I will include 24 units of housing and 42,500 sf of commercial space.  Phase II will include 77 units of housing.","Comprehensive Permit:  Rindge Commons is the creation of 101 units of affordable housing on the site of the Rindge Tower Apartments which has 273 affordable apartments.  The project consists of 2 buildings which will be built in phases.  Phase I will include 24 units of housing and 42,500 sf of commercial space.  Phase II will include 77 units of housing. The applicant seeks relief from the following Ordinance provisions:","264,168","425,211","346,778","155,591","155,591","155,591",1.697,2.73,2.229,569.93,416.02,461.54,See Atta,"257'-2""",See Atta,See Atta,"638'-4""",See Atta,see attached,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,See Atta,,,,,,,,,,,"Cambridge, MA",MA,09/17/2020
BZA-017310-2020,07/24/2020,Special Permit,"Special Permit:  Modification of existing mobile communications facility by removing 8 antennas, retain 3 antennas and install 10 new antennas (total of 13 antennas) at the same height on the side of the structure. Remove 6 remote radio heads and replace with 6 remote radio heads at the same location inside of the structure.  All equipment to be color wrapped to match structure.  Modification satisfies standards for an eligible facility request under Section 6409(a) of the federal Middle Class Tax Relief and Job Creation Act of 2012 (""Spectrum Act"").",Approved,"118R INDUSTRIAL PARK WAY
Cambridge, MA
(42.370578, -71.068131)",,Modification of Mobile Communications Facility,Mobile Communications Facility,No,Yes,Mobile Communications Facility,Mobile Communications Facility,Industry A Zone,10/07/2020,10/02/2020,,,Yes,4.000,4.32.G.1 (Telecommunication Facility).,4.000,4.40 (Footnote 49) (Telecommunication Facility).,10.000,10.40-10.46 (Special Permit).,6409(a),(Middlesex Class Tax Relief Act - Spectrum Act).,,,,,,,"Modification of existing mobile communications facility by removing 8 antennas, retain 3 antennas and install 10 new antennas (total of 13 antennas) at the same height on the side of the structure. Remove 6 remote radio heads and replace with 6 remote radio heads at the same location inside of the structure.  All equipment to be color wrapped to match structure.  Modification satisfies standards for an eligible facility request under Section 6409(a) of the federal Middle Class Tax Relief and Job Creation Act of 2012 (""Spectrum Act"").","Special Permit:  Modification of existing mobile communications facility by removing 8 antennas, retain 3 antennas and install 10 new antennas (total of 13 antennas) at the same height on the side of the structure. Remove 6 remote radio heads and replace with 6 remote radio heads at the same location inside of the structure.  All equipment to be color wrapped to match structure.  Modification satisfies standards for an eligible facility request under Section 6409(a) of the federal Middle Class Tax Relief and Job Creation Act of 2012 (""Spectrum Act"").","10,380",no change,N/A,255480,No Change,N/A,N/A,No Change,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lot is occupied by Boston Sand & Gravel Batching Plant and associated structures.,,,,,"As demonstrated by the document provided with this application and will be further discussed at the hearing on this matter, the modification satisfies the standards for an Eligible Facilities Request pursuant to Section 6409(a) of the Federal Spectrum Act.  The proposed modification also satisfies the standards for grant of a special permit.",The modification of the unmanned facility will not change existing traffic demand or impact ingress or egress.  The modified facility will continue to generate only about one to two vehicle trips per month in a standard passenger vehicle.,"The modified facility will have no adverse effects on the operation or development of adjacent areas.  The modified facility will emit no light, odor, dust or glare and generates no unusual noise or other adverse impacts.","The modified facility will generate no additional traffic or other negative impacts on surrounding properties or within the City of Cambridge.   The facility requires no watier or sewer services and emits no light, odor, dust or glare and generates no unusual noise or other adverse impacts.  The facility will be unoccupied with no employees or customers.  The availability of wireless services enhances the health, safety and welfare of the community.",The facility has been designed to minimize its visual impact and is in harmony with the general purpose of the zoning ordinance and the previously issued special permits for this use an in accordance with the requirements for an Eligible Facilities Request under Section 6409(a).,Lynnfield,MA,09/24/2020
BZA-003084-2014,01/13/2014,Special Permit,Variance:  To construct shed dormer and roof deck on the north side of building.,Approved,"23 25 LONGFELLOW RD
Cambridge, MA
(42.375134, -71.134277)",,,,No,Yes,2 Family,2 Family,Residence B Zone,,,03/20/2014,04/24/2014,Yes,5.000,5.31 (Table of Dimensional Requirements).,,,,,,,,,,,,,"On the north side of eixsting hip roof, i propose to open approx, 300S.F area and change that area in to shed domer (260 S.F) and out door roof deck (40 S.F). Gross floor area is to be approximately same or less comparing to existing condition due to loss of area in the out door roof deck and improvment of access to the attic area (from ladder to stair conforming building code).",Variance:  To construct shed dormer and roof deck on the north side of building.,"3,674SF",3948SF,2283SF,4566SF,4566SF,5000SF,0.8,0.8,0.5,0,0,0,0,50FT,50FT,0,0,0,8.7FT,8.7FT,15FT,33.70FT,33.70FT,25FT,8.3FT,8.3FT,7.5FT,6.4FT,6.4FT,7.5FT,31.1FT,31.1FT,35FT,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,20FT,20FT,20FT,"Existing hip roof with wood frame structure will be reinforced on the ridge beam with LVL, and new shed domer will be built with wood frame construction and wood siding in the exterior. Highest point of shed dommer will be matched with existing ridge height and front wall of dommer will be 16"" set back from main wall.","Article 5 section 5.31 indicates res zoning requires max FAR 0.5changes on the exterior (new shed dommer/roof deck construction) requires to meet with current FAR requirement. however, existing gross area (3,674SF) established within the orignal building parameter isaaledy exceeding current requirment, but there will be no increase in the existing gross area. due to exclusion of out door roof deck area and improvment on the stair to the attic area. (replacing ladder to stair).",there is no visual or shading impacts with these changes because new shed dommer is facing dead end street side. visual changes are hardly reconized from public street view. and because of enough ditance to the surrounding houses it does not cause any kinds of visual/ shading obstruction or privacy conflicts.,"there is no visual or shading impacts with these changes because new shed dommer is facing dead end street side. visual changes are hardly reconized from public street view. and, because of enough distance to the surrounding houses it does not cause any kinds of visual/shading obstructions or privacy conflicts.","there is no special hardship relating to site context and existing structure regarding new shed dommer and roof deck construction. this addition will follow ""design guidlines for roof dommers"" from cambridge board of zoning appeal. structure reinforcement details along with these changes are prepared by the engineer, and all the documents including site survey, changed plans and structure detail drawings are attached with this application.",,,,,,Acton,MA,05/07/2014
BZA-017313-2020,07/29/2020,Variance,Variance:  To add dormers to the roof increasing the gross floor area of the building and locate a portion of the right side dormer within the setback.,Approved,"38 40 High St
Cambridge, MA
(42.378145, -71.150335)",,,4.31,Yes,No,Two Family,Two Family,Residence B Zone,,,10/02/2020,11/06/2020,Yes,5.000,5.31 (Table of Dimensional Requirements).,10.000,10.30 (Variance).,,,,,,,,,,,Petitioner requests Variance Relief 1) to add dormers to the roof increasing the gross floor area of the building by 202 sf and 2) locate a portion of the right side dormer within the setback.,Variance:  To add dormers to the roof increasing the gross floor area of the building and locate a portion of the right side dormer within the setback.,3176sf,3378sf,1912.5,3825,3825,3825,.83,.85,.5,"1,912.5","1,912.5",2500,45',45',50',85',85',n/a,10'+/-,10'+/-,10',22',22',25',15'+/-,15'+/-,7.6',5',5',7.6',"26'6""","26'6""",35',51',51',n/a,45',45',n/a,20%,20%,30%,2,2,1+,2,2,2,0,0,n/a,n/a,n/a,10',,"A Literal enforcement of the Ordinance would be a substantial hardship to the Petitioner and future occupants of the dwelling because the existing two-family dwelling contains four bedrooms, two of which are located on the third floor without a bathroom. Further the existing stairs do not conform to the building code with a very low and awkward head height. Adding dormers to the third floor would remedy the stair building code violation, add a second bathroom to a four-bedroom dwelling and allow for more natural light with appropriate windows into the third floor living space.",Desirable relief may be granted without substantial detriment to the public good because the high street property is similar to several other dwellings in the neighborhood many of which have similar dormers to activate awkward living spaces. Granting relief will provide another functional family sized dwelling to the neighborhood that is consistent with the pattern of development.,Desirable relief may be granted without nullifying or derogating from the intent or purpose of this Ordinance because the neighborhood contains many family and the proposed zoning request will increase cambridge's housing stock of renovated properties with at least three bedrooms and two baths.,The hardship is owing to the siting of the property such that any change on the right side would like require zoning relief. Additionally the property was built before modern building codes so the non code compliant stairs can only be remedied by a dormer in the setback.,,,,,,Cambridge,MA,09/24/2020
BZA-017314-2020,07/29/2020,Special Permit,Special Permit: Applicant is seeking relief under Secction 6409 of 47 U.S.C. 1455 (a) and the applicable city zoning regulations at Article 4.00 and Article 10.00. Remove existing antennas on facade of building. Replace with upgraded antennas. Remove existing cabling and radios and replace with upgraded cabling and radios.,Withdrawn,"120 Broadway
Cambridge, MA
(42.364024, -71.087702)",,Replace Existing Antennas,Telecom,No,Yes,Telecom,Telecom,MXD,10/30/2020,10/25/2020,,,Yes,4.000,4.32.G.1 (Telecommunications Facility).,4.000,4.40 (Footnote 49) (Telecommunications Facility).,10.000,10.40 (Special Permit).,6409,47 U.S.C. 1455 (a),,,,,,,Applicant is seeking relief under Scection 6409 of 47 U.S.C. 1455 (a) and the applicable city zoning regulations at Article 4.00 and Articale 10.00. Remove existing antennas on facade of builidng. Replace with upgraded antennas. Remove existing cabling and radios and replace with upgraded cabling and radios.,Special Permit: Applicant is seeking relief under Secction 6409 of 47 U.S.C. 1455 (a) and the applicable city zoning regulations at Article 4.00 and Article 10.00. Remove existing antennas on facade of building. Replace with upgraded antennas. Remove existing cabling and radios and replace with upgraded cabling and radios.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,158',158',N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Use as hotel will not change.  Existing antennas to be replaced.  No change to or impact on adjacent buildings.,N/A,N/A,N/A,N/A,The applicable ordinance allows telecommunications equipment to be installed at the property. Telecommunications equipment exists at the property and Applicant is solely seeking to replace existing antennas and existing cabling and radios with upgraded antennas.,Subsequent to installation there will be no change to current traffic or access conditions. The visual impact will be extremely minimal if not nonexistant due to current presence of antennas which will be replaced if this application is approved.,There will be no impact on adjacent uses as the proposed changes are all contained within and on the current host property.  Upgraded communication ability would likely enhance the development of adjacent uses.,"The proposed use will have no adverse effects on the cited resources and will in fact enable more sophisticated methods of communication in both emergency and non-emergency situations, thereby enhancing potentially the health, safety and/or welfare of the citizens of and visitors to Cambridge.","There wil be no additional traffic, noise, effluent or visual impact.  The proposed use will result in the enhanced ability of individuals to communicate.",West Bridgewater,MA,09/15/2020
